0,0,-1
0,1,-1
0,2,-1
0,3,-1
0,4,-1
0,5,-1
0,6,-1
0,7,-1
0,8,-1
0,9,-1
0,10,-7049488
0,11,-1
0,12,-1
0,13,-1
0,14,-1
0,15,-1
0,16,-1
0,17,-1
1,0,-1
1,1,-1
1,2,-1
1,3,-14176553
1,4,-14176553
1,5,-14176553
1,6,-14176553
1,7,-14176553
1,8,-14176553
1,9,-14176553
1,10,-7049488
1,11,-1
1,12,-1
1,13,-1
1,14,-1
1,15,-1
1,16,-7950727
1,17,-1
2,0,-1
2,1,-1
2,2,-1
2,3,-14176553
2,4,-14176553
2,5,-14176553
2,6,-14176553
2,7,-14176553
2,8,-14176553
2,9,-7049488
2,10,-7049488
2,11,-1
2,12,-1
2,13,-1
2,14,-1
2,15,-7950727
2,16,-7950727
2,17,-1
3,0,-1
3,1,-1
3,2,-1
3,3,-14176553
3,4,-14176553
3,5,-14176553
3,6,-14176553
3,7,-14176553
3,8,-14176553
3,9,-7049488
3,10,-7049488
3,11,-1
3,12,-1
3,13,-1
3,14,-1
3,15,-7950727
3,16,-7950727
3,17,-1
4,0,-1
4,1,-1
4,2,-1
4,3,-14176553
4,4,-14176553
4,5,-14176553
4,6,-14176553
4,7,-14176553
4,8,-14176553
4,9,-7049488
4,10,-7049488
4,11,-1
4,12,-1
4,13,-1
4,14,-1
4,15,-7950727
4,16,-7950727
4,17,-1
5,0,-1
5,1,-1
5,2,-1
5,3,-14176553
5,4,-14176553
5,5,-14176553
5,6,-14176553
5,7,-14176553
5,8,-14176553
5,9,-7049488
5,10,-7049488
5,11,-1
5,12,-1
5,13,-1
5,14,-1
5,15,-7950727
5,16,-7950727
5,17,-1
6,0,-1
6,1,-1
6,2,-1
6,3,-14176553
6,4,-14176553
6,5,-14176553
6,6,-14176553
6,7,-14176553
6,8,-14176553
6,9,-7049488
6,10,-1
6,11,-1
6,12,-1
6,13,-1
6,14,-1
6,15,-7950727
6,16,-7950727
6,17,-1
7,0,-1
7,1,-1
7,2,-1
