0,0,-1
0,1,-1
0,2,-1
0,3,-1
0,4,-1
0,5,-1
0,6,-1
0,7,-1
0,8,-1
0,9,-1
0,10,-1
0,11,-1
0,12,-1
0,13,-1
0,14,-1
0,15,-1
0,16,-1
0,17,-1
1,0,-1
1,1,-1
1,2,-1
1,3,-1
1,4,-1
1,5,-1
1,6,-1
1,7,-1
1,8,-1
1,9,-1
1,10,-1
1,11,-9990714
1,12,-1
1,13,-1
1,14,-1
1,15,-1
1,16,-1
1,17,-1
2,0,-1
2,1,-1
2,2,-8438469
2,3,-4636612
2,4,-1
2,5,-4636612
2,6,-1
2,7,-8438469
2,8,-1
2,9,-1
2,10,-1
2,11,-9990714
2,12,-1
2,13,-1
2,14,-1
2,15,-9990714
2,16,-1
2,17,-1
3,0,-1
3,1,-1
3,2,-8438469
3,3,-4636612
3,4,-1
3,5,-4636612
3,6,-8438469
3,7,-8438469
3,8,-8438469
3,9,-8438469
3,10,-8438469
3,11,-9990714
3,12,-9990714
3,13,-9990714
3,14,-9990714
3,15,-9990714
3,16,-1
3,17,-1
4,0,-1
4,1,-1
4,2,-8438469
4,3,-4636612
4,4,-1
4,5,-4636612
4,6,-8438469
4,7,-8438469
4,8,-8438469
4,9,-8438469
4,10,-1
4,11,-9990714
4,12,-9990714
4,13,-1
4,14,-1
4,15,-1
4,16,-1
4,17,-1
5,0,-1
5,1,-1
5,2,-8438469
5,3,-4636612
5,4,-4636612
5,5,-4636612
5,6,-8438469
5,7,-8438469
5,8,-8438469
5,9,-8438469
5,10,-2842001
5,11,-9990714
5,12,-9990714
5,13,-1
5,14,-1
5,15,-1
5,16,-1
5,17,-1
6,0,-1
6,1,-1
6,2,-8438469
6,3,-4636612
6,4,-4636612
6,5,-4636612
6,6,-4636612
6,7,-8438469
6,8,-8438469
6,9,-8438469
6,10,-1
6,11,-9990714
6,12,-1
6,13,-1
6,14,-1
6,15,-1
6,16,-1
6,17,-1
7,0,-1
7,1,-1
7,2,-8438469
7,3,-4636612
7,4,-1
